match_id,team,opponent,venue,xg_for,xg_against,p_win,p_draw,p_loss,exp_pts
zwNinCpI,Geylang Int.,Balestier Khalsa,H,2.17,2.0,43.08,20.17,36.76,1.49
r3QapjFU,Albirex Niigata,Young Lions,H,2.06,1.35,53.73,21.26,25.01,1.82
MTeA4g0n,Tampines Rovers,Lion City Sailors,H,1.75,1.92,35.76,21.63,42.61,1.29
fsfI2XUb,Tanjong Pagar Utd.,Hougang Utd,H,1.67,1.79,36.32,22.39,41.3,1.31
EqAJ0BaB,Tampines Rovers,Young Lions,H,2.4,1.08,66.53,17.99,15.48,2.18
Krxir3qp,Albirex Niigata,Tanjong Pagar Utd.,H,2.3,1.19,62.28,19.19,18.53,2.06
84Io4p63,Balestier Khalsa,Hougang Utd,H,1.97,1.94,40.09,20.94,38.96,1.41
tbQatsEd,Geylang Int.,Lion City Sailors,H,1.4,2.27,23.09,19.87,57.04,0.89
23Bf2OzG,Geylang Int.,Tampines Rovers,H,1.23,1.5,31.09,25.38,43.53,1.19
zH92025S,Hougang Utd,Lion City Sailors,H,1.56,2.2,27.29,20.43,52.27,1.02
f1jZftTk,Balestier Khalsa,Albirex Niigata,H,1.7,2.24,29.36,20.19,50.45,1.08
2RgsgKc2,Young Lions,Tanjong Pagar Utd.,H,2.28,1.69,51.37,20.01,28.61,1.74
pjJR0WG8,Hougang Utd,Young Lions,H,2.22,1.36,56.8,20.17,23.03,1.91
IHWYbAoL,Tampines Rovers,Tanjong Pagar Utd.,H,2.64,0.92,74.14,15.22,10.64,2.38
x2D5gl9r,Lion City Sailors,Balestier Khalsa,H,2.61,1.85,54.49,18.42,27.09,1.82
AFBDiSwe,Albirex Niigata,Geylang Int.,H,1.57,1.42,41.25,24.29,34.47,1.48
6s5Mk687,Tanjong Pagar Utd.,Geylang Int.,H,1.44,2.02,27.42,21.55,51.03,1.04
WKd8D90E,Balestier Khalsa,Tampines Rovers,H,1.4,2.18,24.36,20.49,55.14,0.94
hzoHBmVQ,Young Lions,Lion City Sailors,H,1.39,2.69,17.84,17.04,65.12,0.71
OIym6Rhl,Albirex Niigata,Hougang Utd,H,1.8,1.19,51.71,23.13,25.16,1.78
KpVe45N0,Balestier Khalsa,Young Lions,H,2.23,2.11,42.37,19.79,37.84,1.47
hbT32qhD,Tampines Rovers,Albirex Niigata,H,1.87,1.22,52.59,22.57,24.84,1.8
2POEKQ7s,Geylang Int.,Hougang Utd,H,1.8,1.27,49.87,23.11,27.02,1.73
WtYrQnpK,Lion City Sailors,Tanjong Pagar Utd.,H,2.74,1.11,71.47,15.58,12.95,2.3
OvDNI4xf,Balestier Khalsa,Geylang Int.,H,1.74,2.17,31.42,20.54,48.04,1.15
W4GVGr76,Young Lions,Albirex Niigata,H,1.51,1.99,29.35,21.67,48.98,1.1
CEOwFMyJ,Lion City Sailors,Tampines Rovers,H,1.67,1.35,45.08,23.87,31.06,1.59
2szkMwqn,Hougang Utd,Tanjong Pagar Utd.,H,2.46,1.2,65.01,18.01,16.98,2.13
b9TcKHDb,Geylang Int.,Young Lions,H,2.05,1.43,51.98,21.3,26.71,1.77
6ZW5IerB,Tampines Rovers,Hougang Utd,H,2.15,0.92,65.47,19.52,15.01,2.16
SlLEGZCN,Albirex Niigata,Lion City Sailors,H,1.4,2.19,24.2,20.4,55.4,0.93
xO6pBDzo,Tanjong Pagar Utd.,Balestier Khalsa,H,2.04,2.52,31.86,18.84,49.3,1.14
hWlXYGSi,Tanjong Pagar Utd.,Albirex Niigata,H,1.39,2.09,25.37,21.05,53.58,0.97
QqmuXfc4,Young Lions,Tampines Rovers,H,1.21,1.92,23.93,22.18,53.89,0.94
