season_id,season_label,event_id,home_team,away_team,fetch_ok,match_url,match_date,match_time,ok,season_id_stats,away_accurate_passes,away_aerial_duels,away_aerial_duels_total,away_ball_possession,away_big_chances,away_big_chances_missed,away_big_chances_scored,away_big_saves,away_blocked_shots,away_clearances,away_corner_kicks,away_crosses,away_crosses_total,away_dispossessed,away_dribbles,away_dribbles_total,away_duels,away_errors_lead_to_a_goal,away_errors_lead_to_a_shot,away_expected_goals,away_final_third_entries,away_final_third_phase,away_final_third_phase_total,away_fouled_in_final_third,away_fouls,away_free_kicks,away_goal_kicks,away_goalkeeper_saves,away_goals_prevented,away_ground_duels,away_ground_duels_total,away_high_claims,away_hit_woodwork,away_interceptions,away_long_balls,away_long_balls_total,away_offsides,away_passes,away_penalty_saves,away_recoveries,away_red_cards,away_shots_inside_box,away_shots_off_target,away_shots_on_target,away_shots_outside_box,away_tackles,away_tackles_won,away_tackles_won_total,away_through_balls,away_throw_ins,away_total_saves,away_total_shots,away_total_shots__totalshotsongoal,away_total_tackles,away_touches_in_penalty_area,away_yellow_cards,home_accurate_passes,home_aerial_duels,home_aerial_duels_total,home_ball_possession,home_big_chances,home_big_chances_missed,home_big_chances_scored,home_big_saves,home_blocked_shots,home_clearances,home_corner_kicks,home_crosses,home_crosses_total,home_dispossessed,home_dribbles,home_dribbles_total,home_duels,home_errors_lead_to_a_goal,home_errors_lead_to_a_shot,home_expected_goals,home_final_third_entries,home_final_third_phase,home_final_third_phase_total,home_fouled_in_final_third,home_fouls,home_free_kicks,home_goal_kicks,home_goalkeeper_saves,home_goals_prevented,home_ground_duels,home_ground_duels_total,home_high_claims,home_hit_woodwork,home_interceptions,home_long_balls,home_long_balls_total,home_offsides,home_passes,home_penalty_saves,home_recoveries,home_red_cards,home_shots_inside_box,home_shots_off_target,home_shots_on_target,home_shots_outside_box,home_tackles,home_tackles_won,home_tackles_won_total,home_through_balls,home_throw_ins,home_total_saves,home_total_shots,home_total_shots__totalshotsongoal,home_total_tackles,home_touches_in_penalty_area,home_yellow_cards
48772,2023,11041308,Tanjong Pagar Utd.,Albirex Niigata,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-tanjong-pagar-united/NkbsGGn#id:11041308,11/08/2023,07:45,1,48772,325.0,24.0,50.0,65.0,,,,,5.0,11.0,9.0,10.0,27.0,4.0,24.0,30.0,44.0,,7.0,3.4,,47.0,60.0,,9.0,1.0,9.0,1.0,,40.0,94.0,1.0,0.0,16.0,21.0,42.0,2.0,398.0,,,0.0,11.0,11.0,5.0,10.0,2.0,,,4.0,22.0,1.0,21.0,21.0,2.0,31.0,1.0,134.0,23.0,46.0,35.0,,,,,3.0,34.0,5.0,1.0,9.0,4.0,11.0,14.0,32.0,,7.0,1.37,,17.0,29.0,,8.0,6.0,14.0,2.0,,23.0,96.0,0.0,0.0,19.0,17.0,33.0,1.0,193.0,,,0.0,8.0,7.0,3.0,5.0,1.0,,,0.0,17.0,2.0,13.0,13.0,1.0,14.0,2.0
48772,2023,11041309,Albirex Niigata,Lion City Sailors,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-lion-city-sailors/QkbsGGn#id:11041309,16/07/2023,06:00,1,48772,229.0,15.0,47.0,46.0,,,,,4.0,17.0,4.0,4.0,24.0,3.0,20.0,23.0,30.0,,4.0,1.37,,36.0,56.0,,11.0,2.0,10.0,4.0,,28.0,94.0,1.0,1.0,13.0,34.0,61.0,1.0,312.0,,,0.0,6.0,2.0,2.0,3.0,2.0,,,1.0,24.0,4.0,9.0,9.0,2.0,23.0,0.0,292.0,31.0,46.0,54.0,,,,,4.0,35.0,12.0,7.0,16.0,2.0,18.0,23.0,46.0,,1.0,2.2,,46.0,58.0,,5.0,1.0,7.0,1.0,,28.0,80.0,1.0,0.0,13.0,21.0,38.0,0.0,361.0,,,0.0,12.0,6.0,7.0,5.0,0.0,,,4.0,27.0,1.0,17.0,17.0,0.0,28.0,0.0
48772,2023,11041310,Balestier Khalsa,Tampines Rovers,1,https://www.sofascore.com/football/match/tampines-rovers-balestier-khalsa/OkbsTkb#id:11041310,26/08/2023,06:00,1,48772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48772,2023,11041311,Geylang Int.,Young Lions,1,https://www.sofascore.com/football/match/young-lions-geylang-international/UkbsHGn#id:11041311,19/08/2023,06:00,1,48772,163.0,17.0,35.0,32.0,,,,,0.0,23.0,6.0,4.0,13.0,5.0,22.0,27.0,32.0,,4.0,0.72,,19.0,37.0,,14.0,0.0,15.0,2.0,,39.0,137.0,0.0,1.0,18.0,23.0,36.0,3.0,221.0,,,0.0,5.0,5.0,6.0,7.0,1.0,,,2.0,20.0,2.0,12.0,12.0,1.0,16.0,2.0,520.0,19.0,37.0,68.0,,,,,3.0,8.0,6.0,7.0,15.0,8.0,22.0,30.0,34.0,,3.0,2.17,,65.0,79.0,,4.0,1.0,6.0,7.0,,45.0,150.0,1.0,0.0,17.0,29.0,46.0,2.0,590.0,,,0.0,12.0,9.0,5.0,5.0,0.0,,,2.0,19.0,7.0,17.0,17.0,0.0,22.0,0.0
48772,2023,11041312,Hougang Utd,DPMM,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-hougang-united/IGnsKGn#id:11041312,04/08/2023,07:45,1,48772,259.0,16.0,42.0,46.0,,,,,4.0,17.0,1.0,5.0,17.0,5.0,11.0,13.0,27.0,,2.0,0.53,,41.0,69.0,,14.0,1.0,15.0,5.0,,24.0,106.0,1.0,0.0,24.0,30.0,59.0,0.0,342.0,,,0.0,4.0,4.0,3.0,7.0,4.0,,,4.0,14.0,5.0,11.0,11.0,4.0,9.0,2.0,310.0,22.0,41.0,54.0,,,,,4.0,8.0,11.0,3.0,14.0,3.0,30.0,37.0,48.0,,4.0,1.37,,30.0,51.0,,6.0,4.0,11.0,4.0,,50.0,106.0,0.0,0.0,16.0,30.0,60.0,2.0,403.0,,,0.0,10.0,7.0,6.0,7.0,3.0,,,1.0,24.0,4.0,17.0,17.0,3.0,25.0,0.0
48772,2023,11041313,Tampines Rovers,DPMM,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-tampines-rovers/TkbsKGn#id:11041313,18/08/2023,07:45,1,48772,126.0,10.0,31.0,29.0,,,,,1.0,12.0,2.0,2.0,5.0,91.0,10.0,19.0,28.0,,,0.87,,,,,9.0,3.0,9.0,7.0,,44.0,161.0,,1.0,42.0,21.0,43.0,0.0,183.0,,,0.0,4.0,1.0,6.0,5.0,5.0,,,0.0,14.0,7.0,9.0,9.0,5.0,,1.0,539.0,19.0,31.0,71.0,,,,,8.0,10.0,10.0,9.0,19.0,88.0,25.0,38.0,40.0,,,1.95,,,,,8.0,3.0,6.0,4.0,,58.0,161.0,,0.0,18.0,18.0,37.0,1.0,607.0,,,0.0,10.0,7.0,9.0,14.0,0.0,,,5.0,20.0,4.0,24.0,24.0,0.0,,3.0
48772,2023,11041314,Lion City Sailors,Geylang Int.,1,https://www.sofascore.com/football/match/geylang-international-lion-city-sailors/QkbsUkb#id:11041314,27/08/2023,06:00,1,48772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48772,2023,11041316,Lion City Sailors,Balestier Khalsa,1,https://www.sofascore.com/football/match/lion-city-sailors-balestier-khalsa/OkbsQkb#id:11041316,20/12/2025,07:30,1,48772,179.0,10.0,21.0,31.0,,,,,1.0,18.0,3.0,1.0,5.0,7.0,15.0,24.0,28.0,,2.0,1.74,,12.0,25.0,,8.0,1.0,17.0,5.0,,32.0,124.0,,0.0,19.0,8.0,22.0,1.0,232.0,1.0,,1.0,5.0,2.0,4.0,2.0,1.0,,,4.0,15.0,5.0,7.0,7.0,1.0,11.0,0.0,474.0,11.0,21.0,69.0,,,,,2.0,16.0,8.0,15.0,35.0,0.0,34.0,42.0,50.0,,0.0,4.83,,82.0,89.0,,11.0,1.0,2.0,2.0,,62.0,125.0,,2.0,18.0,19.0,27.0,3.0,536.0,1.0,,0.0,17.0,8.0,10.0,5.0,1.0,,,5.0,16.0,2.0,22.0,22.0,1.0,46.0,1.0
48772,2023,11041317,Albirex Niigata,Young Lions,1,https://www.sofascore.com/football/match/young-lions-albirex-niigata-singapore/GGnsHGn#id:11041317,22/07/2023,06:00,1,48772,152.0,13.0,35.0,35.0,,,,,1.0,33.0,0.0,0.0,0.0,1.0,8.0,21.0,25.0,,10.0,0.14,,8.0,18.0,,6.0,1.0,17.0,11.0,,22.0,101.0,1.0,0.0,15.0,13.0,30.0,1.0,192.0,,,2.0,0.0,1.0,0.0,2.0,2.0,,,2.0,14.0,11.0,2.0,2.0,2.0,0.0,1.0,438.0,22.0,34.0,65.0,,,,,9.0,2.0,11.0,11.0,30.0,1.0,23.0,30.0,46.0,,0.0,5.54,,69.0,73.0,,7.0,2.0,2.0,0.0,,44.0,107.0,0.0,0.0,9.0,12.0,18.0,2.0,495.0,,,0.0,17.0,10.0,15.0,17.0,2.0,,,6.0,14.0,0.0,34.0,34.0,2.0,62.0,0.0
48772,2023,11041318,Geylang Int.,Balestier Khalsa,1,https://www.sofascore.com/football/match/geylang-international-balestier-khalsa/OkbsUkb#id:11041318,12/08/2023,06:00,1,48772,397.0,11.0,18.0,53.0,,,,,3.0,18.0,1.0,3.0,5.0,6.0,6.0,11.0,38.0,,3.0,3.69,,45.0,56.0,,11.0,2.0,11.0,2.0,,43.0,124.0,,1.0,14.0,16.0,31.0,1.0,454.0,,,0.0,9.0,1.0,9.0,5.0,2.0,,,3.0,14.0,2.0,14.0,14.0,2.0,23.0,0.0,331.0,5.0,17.0,47.0,,,,,2.0,5.0,4.0,7.0,16.0,6.0,15.0,23.0,35.0,,2.0,0.88,,48.0,64.0,,12.0,4.0,3.0,3.0,,43.0,120.0,,0.0,17.0,19.0,36.0,2.0,395.0,,,2.0,9.0,8.0,4.0,5.0,5.0,,,2.0,21.0,3.0,14.0,14.0,5.0,21.0,0.0
