season_id,season_label,event_id,home_team,away_team,fetch_ok,match_url,ok,season_id_stats,away_accurate_passes,away_aerial_duels,away_aerial_duels_total,away_ball_possession,away_big_chances,away_big_chances_missed,away_big_chances_scored,away_big_saves,away_blocked_shots,away_clearances,away_corner_kicks,away_crosses,away_crosses_total,away_dispossessed,away_distance_covered,away_dribbles,away_dribbles_total,away_duels,away_errors_lead_to_a_goal,away_errors_lead_to_a_shot,away_expected_goals,away_final_third_entries,away_final_third_phase,away_final_third_phase_total,away_fouled_in_final_third,away_fouls,away_free_kicks,away_goal_kicks,away_goalkeeper_saves,away_goals_prevented,away_ground_duels,away_ground_duels_total,away_high_claims,away_hit_woodwork,away_interceptions,away_long_balls,away_long_balls_total,away_number_of_sprints,away_offsides,away_passes,away_penalty_saves,away_punches,away_recoveries,away_red_cards,away_shots_inside_box,away_shots_off_target,away_shots_on_target,away_shots_outside_box,away_tackles,away_tackles_won,away_tackles_won_total,away_through_balls,away_throw_ins,away_total_saves,away_total_shots,away_total_shots__totalshotsongoal,away_total_tackles,away_touches_in_penalty_area,away_yellow_cards,home_accurate_passes,home_aerial_duels,home_aerial_duels_total,home_ball_possession,home_big_chances,home_big_chances_missed,home_big_chances_scored,home_big_saves,home_blocked_shots,home_clearances,home_corner_kicks,home_crosses,home_crosses_total,home_dispossessed,home_distance_covered,home_dribbles,home_dribbles_total,home_duels,home_errors_lead_to_a_goal,home_errors_lead_to_a_shot,home_expected_goals,home_final_third_entries,home_final_third_phase,home_final_third_phase_total,home_fouled_in_final_third,home_fouls,home_free_kicks,home_goal_kicks,home_goalkeeper_saves,home_goals_prevented,home_ground_duels,home_ground_duels_total,home_high_claims,home_hit_woodwork,home_interceptions,home_long_balls,home_long_balls_total,home_number_of_sprints,home_offsides,home_passes,home_penalty_saves,home_punches,home_recoveries,home_red_cards,home_shots_inside_box,home_shots_off_target,home_shots_on_target,home_shots_outside_box,home_tackles,home_tackles_won,home_tackles_won_total,home_through_balls,home_throw_ins,home_total_saves,home_total_shots,home_total_shots__totalshotsongoal,home_total_tackles,home_touches_in_penalty_area,home_yellow_cards
78478,25/26,14195487,Albirex Niigata,Balestier Khalsa,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-balestier-khalsa/OkbsGGn#id:14195487,1,78478,356.0,12.0,29.0,50.0,,,,,6.0,12.0,3.0,8.0,25.0,5.0,,16.0,20.0,36.0,,2.0,2.19,,33.0,54.0,,9.0,4.0,5.0,5.0,,43.0,122.0,,0.0,14.0,26.0,46.0,,0.0,436.0,,,,0.0,8.0,3.0,6.0,7.0,5.0,,,1.0,27.0,5.0,15.0,15.0,5.0,16.0,1.0,430.0,14.0,30.0,50.0,,,,,7.0,24.0,4.0,2.0,13.0,7.0,,19.0,23.0,39.0,,6.0,2.87,,50.0,70.0,,17.0,1.0,3.0,4.0,,54.0,141.0,,0.0,19.0,34.0,57.0,,2.0,513.0,,,,0.0,14.0,5.0,7.0,5.0,3.0,,,3.0,15.0,4.0,19.0,19.0,3.0,30.0,3.0
78478,25/26,14195482,Geylang Int.,Albirex Niigata,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-geylang-international/UkbsGGn#id:14195482,1,78478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78478,25/26,14254081,Geylang Int.,Albirex Niigata,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-geylang-international/UkbsGGn#id:14254081,1,78478,402.0,15.0,26.0,53.0,,,,,1.0,13.0,2.0,6.0,19.0,5.0,,15.0,19.0,39.0,,1.0,0.73,,53.0,72.0,,13.0,7.0,7.0,3.0,,48.0,132.0,,0.0,15.0,44.0,66.0,,4.0,472.0,,,,0.0,4.0,6.0,3.0,6.0,3.0,,,0.0,22.0,3.0,10.0,10.0,3.0,18.0,0.0,331.0,11.0,22.0,47.0,,,,,3.0,15.0,6.0,4.0,10.0,7.0,,22.0,32.0,35.0,,1.0,0.44,,35.0,49.0,,14.0,1.0,10.0,1.0,,44.0,134.0,,0.0,12.0,36.0,62.0,,3.0,403.0,,,,1.0,5.0,5.0,3.0,6.0,8.0,,,1.0,26.0,1.0,11.0,11.0,8.0,13.0,1.0
78478,25/26,14195505,Lion City Sailors,Albirex Niigata,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-lion-city-sailors/QkbsGGn#id:14195505,1,78478,366.0,14.0,26.0,45.0,,,,,2.0,15.0,6.0,7.0,16.0,7.0,,7.0,7.0,32.0,,1.0,0.64,,41.0,67.0,,6.0,1.0,11.0,4.0,,17.0,70.0,,1.0,11.0,23.0,45.0,,1.0,428.0,,,,0.0,8.0,2.0,3.0,0.0,1.0,,,6.0,16.0,4.0,8.0,8.0,1.0,13.0,1.0,466.0,12.0,27.0,55.0,,,,,1.0,15.0,5.0,13.0,19.0,1.0,,10.0,16.0,35.0,,0.0,1.45,,44.0,58.0,,7.0,0.0,5.0,3.0,,21.0,66.0,,1.0,13.0,24.0,41.0,,1.0,519.0,,,,0.0,11.0,5.0,7.0,3.0,5.0,,,3.0,19.0,3.0,14.0,14.0,5.0,28.0,0.0
78478,25/26,14254830,Albirex Niigata,Tampines Rovers,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-tampines-rovers/TkbsGGn#id:14254830,1,78478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78478,25/26,14195502,Balestier Khalsa,Tanjong Pagar Utd.,1,https://www.sofascore.com/football/match/balestier-khalsa-tanjong-pagar-united/NkbsOkb#id:14195502,1,78478,275.0,14.0,30.0,41.0,,,,,2.0,25.0,2.0,2.0,9.0,5.0,,7.0,11.0,32.0,,10.0,1.28,,26.0,47.0,,9.0,1.0,17.0,10.0,,37.0,128.0,1.0,0.0,16.0,26.0,55.0,,1.0,351.0,,,,1.0,8.0,6.0,4.0,4.0,4.0,,,2.0,20.0,10.0,12.0,12.0,4.0,19.0,4.0,382.0,15.0,30.0,59.0,,,,,10.0,11.0,4.0,7.0,27.0,8.0,,33.0,39.0,46.0,,3.0,2.71,,49.0,70.0,,5.0,3.0,7.0,3.0,,60.0,133.0,0.0,1.0,11.0,22.0,47.0,,1.0,454.0,,,,0.0,14.0,8.0,12.0,17.0,0.0,,,2.0,20.0,3.0,31.0,31.0,0.0,31.0,1.0
78478,25/26,14195506,Geylang Int.,Balestier Khalsa,1,https://www.sofascore.com/football/match/geylang-international-balestier-khalsa/OkbsUkb#id:14195506,1,78478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78478,25/26,14195485,Tampines Rovers,Geylang Int.,1,https://www.sofascore.com/football/match/geylang-international-tampines-rovers/TkbsUkb#id:14195485,1,78478,348.0,8.0,19.0,47.0,,,,,7.0,21.0,9.0,2.0,12.0,5.0,,9.0,12.0,46.0,,3.0,0.93,,32.0,46.0,,6.0,3.0,8.0,3.0,,43.0,91.0,0.0,0.0,7.0,14.0,29.0,,1.0,399.0,,,,0.0,2.0,6.0,2.0,13.0,1.0,,,0.0,17.0,3.0,15.0,15.0,1.0,12.0,1.0,516.0,12.0,21.0,53.0,,,,,2.0,23.0,4.0,7.0,13.0,7.0,,5.0,9.0,28.0,,4.0,1.9,,50.0,62.0,,15.0,1.0,13.0,3.0,,17.0,79.0,1.0,3.0,8.0,17.0,29.0,,1.0,558.0,,,,0.0,10.0,4.0,3.0,2.0,2.0,,,5.0,15.0,3.0,12.0,12.0,2.0,20.0,1.0
78478,25/26,14195518,Geylang Int.,Tanjong Pagar Utd.,1,https://www.sofascore.com/football/match/geylang-international-tanjong-pagar-united/NkbsUkb#id:14195518,1,78478,390.0,5.0,19.0,58.0,,,,,1.0,20.0,2.0,4.0,13.0,5.0,,14.0,19.0,38.0,,2.0,0.41,,23.0,41.0,,10.0,4.0,10.0,4.0,,39.0,95.0,1.0,0.0,15.0,24.0,45.0,,1.0,457.0,,,,0.0,4.0,6.0,1.0,4.0,5.0,,,0.0,15.0,4.0,8.0,8.0,5.0,19.0,2.0,233.0,13.0,17.0,42.0,,,,,4.0,17.0,10.0,3.0,15.0,7.0,,13.0,18.0,38.0,,3.0,2.09,,23.0,39.0,,11.0,2.0,14.0,0.0,,33.0,101.0,0.0,1.0,10.0,19.0,36.0,,4.0,299.0,,,,0.0,11.0,6.0,6.0,6.0,0.0,,,3.0,19.0,0.0,17.0,17.0,0.0,18.0,5.0
78478,25/26,14195521,Hougang Utd,Albirex Niigata,1,https://www.sofascore.com/football/match/hougang-united-albirex-niigata-singapore/GGnsIGn#id:14195521,1,78478,234.0,18.0,41.0,34.0,,,,,3.0,17.0,3.0,0.0,6.0,10.0,,11.0,17.0,31.0,,2.0,1.34,,35.0,52.0,,10.0,1.0,12.0,3.0,,32.0,116.0,,0.0,16.0,30.0,51.0,,0.0,283.0,,,,0.0,7.0,8.0,5.0,9.0,1.0,,,0.0,23.0,3.0,16.0,16.0,1.0,19.0,0.0,503.0,18.0,41.0,66.0,,,,,1.0,11.0,2.0,6.0,13.0,8.0,,12.0,15.0,41.0,,7.0,1.09,,66.0,88.0,,10.0,0.0,13.0,1.0,,48.0,117.0,,0.0,9.0,42.0,74.0,,3.0,584.0,,,,1.0,8.0,6.0,3.0,2.0,1.0,,,5.0,15.0,1.0,10.0,10.0,1.0,10.0,2.0
