season_id,event_id,fetch_ok,away_accurate_passes,away_aerial_duels,away_aerial_duels_total,away_ball_possession,away_big_chances,away_big_chances_missed,away_big_chances_scored,away_big_saves,away_blocked_shots,away_clearances,away_corner_kicks,away_crosses,away_crosses_total,away_dispossessed,away_dribbles,away_dribbles_total,away_duels,away_errors_lead_to_a_goal,away_errors_lead_to_a_shot,away_expected_goals,away_final_third_entries,away_final_third_phase,away_final_third_phase_total,away_fouled_in_final_third,away_fouls,away_free_kicks,away_goal_kicks,away_goalkeeper_saves,away_goals_prevented,away_ground_duels,away_ground_duels_total,away_high_claims,away_hit_woodwork,away_interceptions,away_long_balls,away_long_balls_total,away_offsides,away_passes,away_penalty_saves,away_recoveries,away_red_cards,away_shots_inside_box,away_shots_off_target,away_shots_on_target,away_shots_outside_box,away_tackles,away_tackles_won,away_tackles_won_total,away_through_balls,away_throw_ins,away_total_saves,away_total_shots,away_total_shots__totalshotsongoal,away_total_tackles,away_touches_in_penalty_area,away_yellow_cards,home_accurate_passes,home_aerial_duels,home_aerial_duels_total,home_ball_possession,home_big_chances,home_big_chances_missed,home_big_chances_scored,home_big_saves,home_blocked_shots,home_clearances,home_corner_kicks,home_crosses,home_crosses_total,home_dispossessed,home_dribbles,home_dribbles_total,home_duels,home_errors_lead_to_a_goal,home_errors_lead_to_a_shot,home_expected_goals,home_final_third_entries,home_final_third_phase,home_final_third_phase_total,home_fouled_in_final_third,home_fouls,home_free_kicks,home_goal_kicks,home_goalkeeper_saves,home_goals_prevented,home_ground_duels,home_ground_duels_total,home_high_claims,home_hit_woodwork,home_interceptions,home_long_balls,home_long_balls_total,home_offsides,home_passes,home_penalty_saves,home_recoveries,home_red_cards,home_shots_inside_box,home_shots_off_target,home_shots_on_target,home_shots_outside_box,home_tackles,home_tackles_won,home_tackles_won_total,home_through_balls,home_throw_ins,home_total_saves,home_total_shots,home_total_shots__totalshotsongoal,home_total_tackles,home_touches_in_penalty_area,home_yellow_cards
48772,11041308,1,325,24,50,65,,,,,5,11,9,10,27,4,24,30,44,,7,3.4,,47,60,,9,1,9,1,,40,94,1,0,16,21,42,2,398,,,0,11,11,5,10,2,,,4,22,1,21,21,2,31,1,134,23,46,35,,,,,3,34,5,1,9,4,11,14,32,,7,1.37,,17,29,,8,6,14,2,,23,96,0,0,19,17,33,1,193,,,0,8,7,3,5,1,,,0,17,2,13,13,1,14,2
48772,11041309,1,229,15,47,46,,,,,4,17,4,4,24,3,20,23,30,,4,1.37,,36,56,,11,2,10,4,,28,94,1,1,13,34,61,1,312,,,0,6,2,2,3,2,,,1,24,4,9,9,2,23,0,292,31,46,54,,,,,4,35,12,7,16,2,18,23,46,,1,2.2,,46,58,,5,1,7,1,,28,80,1,0,13,21,38,0,361,,,0,12,6,7,5,0,,,4,27,1,17,17,0,28,0
48772,11041310,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48772,11041311,1,163,17,35,32,,,,,0,23,6,4,13,5,22,27,32,,4,0.72,,19,37,,14,0,15,2,,39,137,0,1,18,23,36,3,221,,,0,5,5,6,7,1,,,2,20,2,12,12,1,16,2,520,19,37,68,,,,,3,8,6,7,15,8,22,30,34,,3,2.17,,65,79,,4,1,6,7,,45,150,1,0,17,29,46,2,590,,,0,12,9,5,5,0,,,2,19,7,17,17,0,22,0
48772,11041312,1,259,16,42,46,,,,,4,17,1,5,17,5,11,13,27,,2,0.53,,41,69,,14,1,15,5,,24,106,1,0,24,30,59,0,342,,,0,4,4,3,7,4,,,4,14,5,11,11,4,9,2,310,22,41,54,,,,,4,8,11,3,14,3,30,37,48,,4,1.37,,30,51,,6,4,11,4,,50,106,0,0,16,30,60,2,403,,,0,10,7,6,7,3,,,1,24,4,17,17,3,25,0
48772,11041313,1,126,10,31,29,,,,,1,12,2,2,5,91,10,19,28,,,0.87,,,,,9,3,9,7,,44,161,,1,42,21,43,0,183,,,0,4,1,6,5,5,,,0,14,7,9,9,5,,1,539,19,31,71,,,,,8,10,10,9,19,88,25,38,40,,,1.95,,,,,8,3,6,4,,58,161,,0,18,18,37,1,607,,,0,10,7,9,14,0,,,5,20,4,24,24,0,,3
48772,11041314,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48772,11041316,1,179,10,21,31,,,,,1,18,3,1,5,7,15,24,28,,2,1.74,,12,25,,8,1,17,5,,32,124,,0,19,8,22,1,232,1,,1,5,2,4,2,1,,,4,15,5,7,7,1,11,0,474,11,21,69,,,,,2,16,8,15,35,0,34,42,50,,0,4.83,,82,89,,11,1,2,2,,62,125,,2,18,19,27,3,536,1,,0,17,8,10,5,1,,,5,16,2,22,22,1,46,1
48772,11041317,1,152,13,35,35,,,,,1,33,0,0,0,1,8,21,25,,10,0.14,,8,18,,6,1,17,11,,22,101,1,0,15,13,30,1,192,,,2,0,1,0,2,2,,,2,14,11,2,2,2,0,1,438,22,34,65,,,,,9,2,11,11,30,1,23,30,46,,0,5.54,,69,73,,7,2,2,0,,44,107,0,0,9,12,18,2,495,,,0,17,10,15,17,2,,,6,14,0,34,34,2,62,0
48772,11041318,1,397,11,18,53,,,,,3,18,1,3,5,6,6,11,38,,3,3.69,,45,56,,11,2,11,2,,43,124,,1,14,16,31,1,454,,,0,9,1,9,5,2,,,3,14,2,14,14,2,23,0,331,5,17,47,,,,,2,5,4,7,16,6,15,23,35,,2,0.88,,48,64,,12,4,3,3,,43,120,,0,17,19,36,2,395,,,2,9,8,4,5,5,,,2,21,3,14,14,5,21,0
48772,11041320,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48772,11041321,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48772,11041322,1,198,11,17,41,,,,,2,12,6,1,6,7,18,31,42,,2,1.65,,22,42,,7,2,11,2,,43,111,,1,16,14,35,3,269,,,0,13,4,8,2,5,,,3,22,2,15,15,5,19,1,341,6,18,59,,,,,5,11,4,11,24,6,21,26,39,,5,2.27,,38,66,,8,4,6,5,,44,108,,0,11,19,53,4,419,,,1,10,8,3,6,5,,,4,17,5,16,16,5,21,0
48772,11041323,1,431,7,16,58,,,,,7,13,4,3,20,7,25,33,35,,0,1.98,,57,76,,14,2,4,3,,51,147,0,2,12,22,38,3,505,,,0,10,6,4,9,3,,,0,23,3,19,19,3,33,0,257,11,18,42,,,,,3,12,3,1,10,10,19,25,30,,2,0.64,,25,42,,9,3,12,3,,45,166,1,0,24,21,44,2,331,,,0,6,1,4,2,5,,,2,11,3,8,8,5,9,1
